day_of_week,mean,min,max
0,76.82941679936306,0.4054166666666667,147.77083333333334
1,81.40755573248407,1.29125,151.42708333333334
2,78.85664448924732,0.755,145.91125
3,77.5513313172043,0.66,146.67291666666668
4,75.87848023504274,0.105,148.07875
5,62.83546303763441,0.5908333333333333,143.0975
6,54.580320291016356,0.5370833333333334,143.92416666666665
