date,year,month,week_of_year,day_of_week,day_name,is_weekend,daily_avg_price,daily_min_price,daily_max_price,daily_std_price,daily_median_price,daily_peak_avg,daily_offpeak_avg,daily_night_avg,daily_evening_avg,trading_periods,daily_price_range,peak_offpeak_spread,daily_avg_change_pct,daily_max_change_pct,avg_price_rolling_7d,avg_price_rolling_30d,volatility_rolling_7d,volatility_rolling_30d,is_above_30d_avg,is_extreme_high_day,is_extreme_low_day,year_month
2023-01-01,2023,1,52,6,Sunday,True,6.697083333333334,0.0,40.07,12.551486133787769,0.0,,6.697083333333334,6.697083333333334,,24,40.07,,,,,,,,False,True,False,2023-01
2023-01-02,2023,1,1,0,Monday,False,110.0825,42.0,174.74,40.44706290728768,124.61,,110.0825,110.0825,,24,132.74,,1543.7379456230942,336.08684801597207,,,,,False,False,False,2023-01
2023-01-03,2023,1,1,1,Tuesday,False,136.85416666666666,113.63,169.01,16.85403497467405,134.445,,136.85416666666666,136.85416666666666,,24,55.379999999999995,,24.31963905858485,-3.2791576055854477,,,,,False,False,False,2023-01
2023-01-04,2023,1,1,2,Wednesday,False,115.25708333333334,80.23,167.29,23.37993425794429,106.99000000000001,,115.25708333333334,115.25708333333334,,24,87.05999999999999,,-15.781093012635095,-1.0176912608721334,,,,,False,True,False,2023-01
2023-01-05,2023,1,1,3,Thursday,False,108.51416666666667,61.97,177.98,32.201186572340255,102.895,,108.51416666666667,108.51416666666667,,24,116.00999999999999,,-5.850327347921502,6.390101022177053,,,,,False,True,False,2023-01
2023-01-06,2023,1,1,4,Friday,False,104.14,70.0,137.73,20.516748619433912,102.22999999999999,,104.14,104.14,,24,67.72999999999999,,-4.030963699056189,-22.614900550623663,,,,,False,False,False,2023-01
2023-01-07,2023,1,1,5,Saturday,True,23.773750000000003,4.16,53.42,14.381810012621166,20.1,,23.773750000000003,23.773750000000003,,24,49.260000000000005,,-77.17135586710198,-61.21396936034269,86.47410714285715,,22.904609068298445,,False,True,False,2023-01
2023-01-08,2023,1,1,6,Sunday,True,10.281666666666666,4.16,40.0,10.923862458603768,5.0,,10.281666666666666,10.281666666666666,,24,35.84,,-56.75201990991465,-25.121677274429054,86.98619047619047,,22.672091400415017,,False,True,False,2023-01
2023-01-09,2023,1,2,0,Monday,False,85.78250000000001,4.2,171.62,56.941824793990975,102.55,,85.78250000000001,85.78250000000001,,24,167.42000000000002,,734.3248500567354,329.04999999999995,83.51476190476191,,25.028485955658343,,False,False,False,2023-01
2023-01-10,2023,1,2,1,Tuesday,False,109.39875,64.3,144.74,21.434375745212566,99.5,,109.39875,109.39875,,24,80.44000000000001,,27.53038207093521,-15.662510196946744,79.59255952380954,,25.68282035144956,,False,False,True,2023-01
2023-01-11,2023,1,2,2,Wednesday,False,83.83541666666666,4.16,139.02,49.841380658101734,94.52,,83.83541666666666,83.83541666666666,,24,134.86,,-23.367116473756187,-3.9519137764266965,75.10375,,29.463026980043484,,False,False,False,2023-01
2023-01-12,2023,1,2,3,Thursday,False,92.68875000000001,55.7,142.22,29.22130853132024,92.65,,92.68875000000001,92.68875000000001,,24,86.52,,10.560373748167319,2.3018270752409586,72.8429761904762,,29.03733011704062,,False,False,False,2023-01
2023-01-13,2023,1,2,4,Friday,False,88.48291666666667,38.7,154.7,35.055432064234274,90.655,,88.48291666666667,88.48291666666667,,24,115.99999999999999,,-4.53758771515782,8.775137111517362,70.60625,,31.11428489486925,,False,False,False,2023-01
2023-01-14,2023,1,2,5,Saturday,True,52.9975,35.0,80.0,12.290088707360196,49.09,,52.9975,52.9975,,24,45.0,,-40.104257413154144,-48.287007110536514,74.78107142857142,,30.81546756554625,,False,True,False,2023-01
2023-01-15,2023,1,2,6,Sunday,True,22.0525,3.1,50.56,12.895131285472251,22.47,,22.0525,22.0525,,24,47.46,,-58.38954667673004,-36.8,76.46261904761904,,31.09707739795604,,False,True,False,2023-01
2023-01-16,2023,1,3,0,Monday,False,13.221666666666666,3.0,34.2,9.367199324686425,10.995000000000001,,13.221666666666666,13.221666666666666,,24,31.200000000000003,,-40.04459056040509,-32.35759493670886,66.09678571428572,,24.300702330912532,,False,True,False,2023-01
2023-01-17,2023,1,3,1,Tuesday,False,5.09625,0.65,17.5,3.732421771800274,4.16,,5.09625,5.09625,,24,16.85,,-61.45531324845581,-48.83040935672515,51.19642857142857,,21.7718517632822,,False,True,False,2023-01
2023-01-18,2023,1,3,2,Wednesday,False,21.459166666666665,0.1,122.7,35.40476459174812,4.16,,21.459166666666665,21.459166666666665,,24,122.60000000000001,,321.0775897310113,601.1428571428571,42.28553571428571,,19.709478039517396,,False,True,False,2023-01
2023-01-19,2023,1,3,3,Thursday,False,34.513333333333335,18.35,94.8,18.854022443999597,25.689999999999998,,34.513333333333335,34.513333333333335,,24,76.44999999999999,,60.83258902566892,-22.73838630806846,33.974761904761905,,18.228437169900165,,False,True,False,2023-01
2023-01-20,2023,1,3,4,Friday,False,91.2025,29.99,207.8,50.44320070957123,79.925,,91.2025,91.2025,,24,177.81,,164.25294572146026,119.19831223628692,34.36327380952381,,20.426689833519728,,False,True,False,2023-01
2023-01-22,2023,1,3,6,Sunday,True,37.69916666666666,11.0,128.97,34.68963407588556,20.075,,37.69916666666666,37.69916666666666,,24,117.97,,-58.66432754950066,-37.93551491819057,32.17779761904762,,23.62662488616621,,False,True,False,2023-01
2023-01-23,2023,1,4,0,Monday,False,71.92,34.44,157.22,36.7822816513367,59.6,,71.92,71.92,,24,122.78,,90.77344768894098,21.904318833837323,39.30172619047619,,27.039074938432556,,False,True,False,2023-01
2023-01-24,2023,1,4,1,Tuesday,False,87.44791666666667,47.85,220.0,48.685393665252214,64.02,,87.44791666666667,87.44791666666667,,24,172.15,,21.590540415276237,39.931306449561134,49.905476190476186,,32.65595984422767,,False,True,False,2023-01
2023-01-25,2023,1,4,2,Wednesday,False,92.29916666666666,64.8,210.34,38.204700133868876,81.94,,92.29916666666666,92.29916666666666,,24,145.54000000000002,,5.547587849910651,-4.39090909090909,62.363035714285715,,37.5805710388089,,False,True,False,2023-01
2023-01-26,2023,1,4,3,Thursday,False,67.39791666666666,50.27,99.76,14.68592641277524,59.379999999999995,,67.39791666666666,67.39791666666666,,24,49.49,,-26.9788459628563,-52.57202624322525,68.92571428571429,,34.620737013241346,,False,True,False,2023-01
2023-01-27,2023,1,4,4,Friday,False,46.05083333333334,15.0,82.01,19.567074144585593,47.5,,46.05083333333334,46.05083333333334,,24,67.01,,-31.673209483478093,-17.792702485966316,70.57392857142858,,34.72260154189649,,False,False,False,2023-01
2023-01-28,2023,1,4,5,Saturday,True,41.41833333333333,15.0,74.89,18.204108391207757,36.480000000000004,,41.41833333333333,41.41833333333333,,24,59.89,,-10.05953565805905,-8.681868064870146,63.46190476190476,,30.117016924987418,,False,False,False,2023-01
2023-01-29,2023,1,4,6,Sunday,True,68.40791666666667,36.45,178.58,48.70482120400908,39.5,,68.40791666666667,68.40791666666667,,24,142.13,,65.1633737072955,138.4564027239952,67.84886904761905,,32.11918651471935,,False,True,False,2023-01
2023-01-30,2023,1,5,0,Monday,False,134.83708333333334,90.0,220.0,29.309852547233664,122.25999999999999,,134.83708333333334,134.83708333333334,,24,130.0,,97.10742543199802,23.194086683839178,76.8370238095238,,31.05169664270463,,False,True,False,2023-01
2023-01-31,2023,1,5,1,Tuesday,False,127.07333333333332,99.0,187.36,25.122308926472126,112.5,,127.07333333333332,127.07333333333332,,24,88.36000000000001,,-5.757874471970814,-14.836363636363625,82.49779761904763,69.69611111111111,27.685541680021764,27.356445923893922,True,True,False,2023-01
2023-02-01,2023,2,5,2,Wednesday,False,127.65333333333335,98.15,189.74,26.933604138400373,125.555,,127.65333333333335,127.65333333333335,,24,91.59,,0.45642935837575394,1.2702818104184388,87.54839285714286,73.72798611111111,26.07538510924055,27.835849857381007,True,True,False,2023-02
2023-02-02,2023,2,5,3,Thursday,False,137.07500000000002,113.74,175.33,16.792502726695833,131.93,,137.07500000000002,137.07500000000002,,24,61.59000000000002,,7.380666388134527,-7.59460314114051,97.50226190476191,74.6277361111111,26.376324582657777,27.047364518027948,True,True,False,2023-02
2023-02-03,2023,2,5,4,Friday,False,138.58458333333334,106.63,185.13,20.290079387670495,134.4,,138.58458333333334,138.58458333333334,,24,78.5,,1.1012827527509206,5.5894598756630165,110.72136904761905,74.68541666666667,26.479611045955615,27.161899331794494,True,True,False,2023-02
2023-02-04,2023,2,5,5,Saturday,True,125.55041666666666,87.6,158.09,20.31992799524359,129.775,,125.55041666666666,125.55041666666666,,24,70.49000000000001,,-9.405206808116596,-14.60595257386701,122.7402380952381,75.02852777777778,26.78187098938931,27.059899123037802,True,False,False,2023-02
2023-02-05,2023,2,5,6,Sunday,True,79.38125000000001,17.69,144.59,44.15870777414812,85.69,,79.38125000000001,79.38125000000001,,24,126.9,,-36.77340776115836,-8.539439559744444,124.30785714285715,74.05743055555556,26.132426213694885,27.458483163098062,True,False,False,2023-02
2023-02-06,2023,2,6,0,Monday,False,134.98291666666668,87.9,186.21,30.000196880392608,141.91,,134.98291666666668,134.98291666666668,,24,98.31,,70.04382856992888,28.784839892108714,124.32869047619047,75.08552777777778,26.231046832717592,27.77459810513002,True,False,False,2023-02
2023-02-07,2023,2,6,1,Tuesday,False,137.2225,111.97,165.74,15.17080068678845,131.22,,137.2225,137.2225,,24,53.77000000000001,,1.6591605727885206,-10.992964932065941,125.77857142857144,78.86715277777779,24.809402798477066,27.80089779426893,True,False,False,2023-02
2023-02-08,2023,2,6,2,Wednesday,False,137.92583333333334,108.0,166.45,17.561809086930573,139.39,,137.92583333333334,137.92583333333334,,24,58.44999999999999,,0.5125495697377191,0.4283818028236963,127.24607142857144,83.12195833333334,23.47057493398138,28.022162681879824,True,False,False,2023-02
2023-02-09,2023,2,6,3,Thursday,False,144.99625,136.85,165.0,7.956505029383747,142.36,,144.99625,144.99625,,24,28.150000000000006,,5.126245385503081,-0.8711324722138758,128.37767857142856,85.09575000000001,22.208289548651084,26.38931868972625,True,True,False,2023-02
2023-02-10,2023,2,6,4,Friday,False,141.40291666666667,123.63,159.93,9.321613724432918,141.02,,141.40291666666667,141.40291666666667,,24,36.30000000000001,,-2.478225011566393,-3.0727272727272714,128.78029761904762,86.16255555555556,20.641365882474283,25.98555995570026,True,False,False,2023-02
2023-02-11,2023,2,6,5,Saturday,True,131.76,103.36,161.01,16.552182569863316,133.68,,131.76,131.76,,24,57.64999999999999,,-6.819460937569066,0.6752954417557522,129.66738095238094,87.76004166666667,20.103116535991393,24.875920019425653,True,False,False,2023-02
2023-02-12,2023,2,6,6,Sunday,True,137.73791666666668,120.0,173.46,14.597645128482236,133.88,,137.73791666666668,137.73791666666668,,24,53.46000000000001,,4.536973790730636,7.732438978945422,138.00404761904764,89.26168055555556,15.88010758661055,24.38846457266438,True,True,False,2023-02
2023-02-13,2023,2,7,0,Monday,False,146.76708333333332,129.04,186.59,16.389114754236605,139.425,,146.76708333333332,146.76708333333332,,24,57.55000000000001,,6.555323969737192,7.569468465352247,139.6875,91.20448611111111,13.935667282873977,23.76625399566446,True,True,False,2023-02
2023-02-14,2023,2,7,1,Tuesday,False,142.90291666666667,127.9,171.37,13.459464256786376,140.865,,142.90291666666667,142.90291666666667,,24,43.47,,-2.632856481783763,-8.15692159279704,140.49898809523808,94.20133333333334,13.691190650016539,23.805233180645327,True,True,False,2023-02
2023-02-15,2023,2,7,2,Wednesday,False,145.07083333333333,121.75,175.0,17.49442816060777,145.155,,145.07083333333333,145.07083333333333,,24,53.25,,1.5170555767755944,2.1182237264398607,141.5197023809524,98.30194444444444,13.681564803398995,23.95854307648318,True,False,False,2023-02
2023-02-16,2023,2,7,3,Thursday,False,145.32750000000001,123.9,167.71,14.232541784662843,147.975,,145.32750000000001,145.32750000000001,,24,43.81,,0.17692506534165986,-4.165714285714284,141.56702380952382,102.70547222222223,14.578141482724579,24.120721158482397,True,False,False,2023-02
2023-02-17,2023,2,7,4,Friday,False,133.51375,110.0,162.09,19.285253165927404,129.43,,133.51375,133.51375,,24,52.09,,-8.129053345031068,-3.351022598533182,140.44,106.98605555555555,16.00151854579522,24.639148871619966,True,False,False,2023-02
2023-02-18,2023,2,7,5,Saturday,True,128.5625,110.92,156.02,16.489340232536527,129.655,,128.5625,128.5625,,24,45.10000000000001,,-3.708419544803432,-3.744833117403912,139.9832142857143,110.55616666666667,15.992541069034251,24.008634726312913,True,False,False,2023-02
2023-02-19,2023,2,7,6,Sunday,True,124.08666666666666,104.41,159.2,18.007787123948606,116.625,,124.08666666666666,124.08666666666666,,24,54.78999999999999,,-3.4814454707502884,2.0382002307396396,138.03303571428572,113.54194444444445,16.47970421124373,23.980426882311214,True,False,False,2023-02
2023-02-20,2023,2,8,0,Monday,False,134.13291666666666,108.58,168.72,21.03181492285616,134.585,,134.13291666666666,134.13291666666666,,24,60.14,,8.096155912534254,5.979899497487451,136.22815476190476,114.97295833333334,17.1429470924751,23.000047356087382,True,False,False,2023-02
2023-02-21,2023,2,8,1,Tuesday,False,151.42708333333334,130.56,175.61,12.137431674161043,151.27499999999998,,151.42708333333334,151.42708333333334,,24,45.05000000000001,,12.89330545882661,4.083688952110021,137.44589285714287,118.7638888888889,16.954085294957192,22.248307276029895,True,False,False,2023-02
2023-02-22,2023,2,8,2,Wednesday,False,144.44958333333332,123.0,164.5,14.212847366155154,148.03,,144.44958333333332,144.44958333333332,,24,41.5,,-4.607828300199501,-6.326518990945851,137.35714285714286,121.18154166666666,16.48528803860682,21.495992799857177,True,False,False,2023-02
2023-02-24,2023,2,8,4,Friday,False,148.07874999999999,120.21,174.18,15.628043999142399,151.88,,148.07874999999999,148.07874999999999,,24,53.97000000000001,,2.512410616160765,5.884498480243172,137.75017857142856,123.20256944444445,16.684645497818185,20.394081144320186,True,False,False,2023-02
2023-02-25,2023,2,8,5,Saturday,True,143.0975,117.93,163.34,13.28290737229126,145.37,,143.0975,143.0975,,24,45.41,,-3.363919536057669,-6.223447008841432,139.1192857142857,124.89584722222223,15.827167527298736,19.56335471893426,True,False,False,2023-02
2023-02-26,2023,2,8,6,Sunday,True,106.18541666666665,73.84,137.0,16.56951521926485,106.65,,106.18541666666665,106.18541666666665,,24,63.16,,-25.795058147999328,-16.12587241337089,135.92255952380953,126.18876388888889,15.838621096831352,19.626141012483917,False,False,False,2023-02
2023-02-27,2023,2,9,0,Monday,False,117.50791666666667,89.98,174.49,28.2636581802831,99.86,,117.50791666666667,117.50791666666667,,24,84.51,,10.662951990425572,27.36496350364963,134.9827380952381,128.57066666666668,17.30374553345057,19.916027147007167,False,True,False,2023-02
2023-02-28,2023,2,9,1,Tuesday,False,132.68125,104.8,176.17,24.432024834221167,133.5,,132.68125,132.68125,,24,71.36999999999999,,12.91260517908368,0.9628058914550763,134.77535714285713,131.61276388888888,17.789489806502708,20.123624361774276,True,False,False,2023-02
2023-03-01,2023,3,9,2,Wednesday,False,145.91125,121.13,170.41,14.530353032157569,146.005,,145.91125,145.91125,,24,49.28,,9.9712657214188,-3.2695691661463355,133.98738095238096,134.19620833333335,18.13133571478793,18.98447542271256,True,False,False,2023-03
2023-03-02,2023,3,9,3,Thursday,False,142.09125,117.0,184.0,18.772394930137274,143.505,,142.09125,142.09125,,24,67.0,,-2.618029795509247,7.9748841030455875,133.65047619047618,134.4380138888889,18.782699652499662,18.633226835476016,True,True,False,2023-03
2023-03-03,2023,3,9,4,Friday,False,142.55541666666667,115.5,169.0,17.513564179047716,146.07999999999998,,142.55541666666667,142.55541666666667,,24,53.5,,0.3266680155651125,-8.15217391304348,132.86142857142858,134.95408333333336,19.05205967820042,18.379602010561868,True,False,False,2023-03
2023-03-04,2023,3,9,5,Saturday,True,138.56916666666666,111.9,173.2,15.469466115029885,137.425,,138.56916666666666,138.56916666666666,,24,61.29999999999998,,-2.7962809784499054,2.485207100591702,132.2145238095238,135.31794444444444,19.364425212877368,17.99746407644952,True,True,False,2023-03
2023-03-05,2023,3,9,6,Sunday,True,143.92416666666665,123.26,184.02,13.79741119910186,142.48000000000002,,143.92416666666665,143.92416666666665,,24,60.760000000000005,,3.8644960699530273,6.2471131639723065,137.6057738095238,135.54625,18.968410352854082,17.897627692196387,True,True,False,2023-03
2023-03-06,2023,3,10,0,Monday,False,147.77083333333334,134.0,172.6,8.83594679686912,148.25,,147.77083333333334,147.77083333333334,,24,38.599999999999994,,2.67270379655955,-6.205847190522773,141.92904761904762,135.85245833333335,16.19302301236637,17.515823272503006,True,True,False,2023-03
2023-03-07,2023,3,10,1,Tuesday,False,120.98666666666666,93.6,152.1,17.943180530113157,117.6,,120.98666666666666,120.98666666666666,,24,58.5,,-18.125475821232207,-11.877172653534185,140.25839285714284,135.70033333333333,15.266045254636655,17.436598356998662,False,False,False,2023-03
2023-03-08,2023,3,10,2,Wednesday,False,98.92958333333333,60.2,140.0,21.80628778071505,92.02,,98.92958333333333,98.92958333333333,,24,79.8,,-18.23100341635442,-7.9552925706771855,133.5467261904762,136.35194444444446,16.30546450443058,16.691517690550892,False,False,False,2023-03
