ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-25,66.75712438265795,51.61281387262433,117.6986889254718,66.75712438265795,66.75712438265795,18.907916923180366,18.907916923180366,18.907916923180366,-9.556845680306541,-9.556845680306541,-9.556845680306541,28.464762603486907,28.464762603486907,28.464762603486907,0.0,0.0,0.0,85.66504130583832
2023-11-26,66.61338469060392,45.9153334211615,108.48643636048487,66.61338469060392,66.61338469060392,10.815952768954682,10.815952768954682,10.815952768954682,-18.08441481860643,-18.08441481860643,-18.08441481860643,28.90036758756111,28.90036758756111,28.90036758756111,0.0,0.0,0.0,77.42933745955861
2023-11-27,66.46964499854991,66.7794711570698,133.16220260191355,66.46964499854991,66.46964499854991,32.981942689829516,32.981942689829516,32.981942689829516,3.883081394925061,3.883081394925061,3.883081394925061,29.098861294904456,29.098861294904456,29.098861294904456,0.0,0.0,0.0,99.45158768837942
2023-11-28,66.32590530649587,69.79701504792824,135.2713786483358,66.32590530649587,66.32590530649587,38.044880108756345,38.044880108756345,38.044880108756345,8.975740760287614,8.975740760287614,8.975740760287614,29.069139348468738,29.069139348468738,29.069139348468738,0.0,0.0,0.0,104.37078541525221
2023-11-29,66.18216561444186,68.66439704396807,134.93659056013615,66.18216561444186,66.18216561444186,35.12697556996396,35.12697556996396,35.12697556996396,6.302568845846976,6.302568845846976,6.302568845846976,28.824406724116987,28.824406724116987,28.824406724116987,0.0,0.0,0.0,101.30914118440582
2023-11-30,66.03842592238782,67.79755650826598,133.2239484183831,66.03842592238782,66.03842592238782,34.092556982843725,34.092556982843725,34.092556982843725,5.710745837854551,5.710745837854551,5.710745837854551,28.38181114498918,28.38181114498918,28.38181114498918,0.0,0.0,0.0,100.13098290523155
2023-12-01,65.8946862303338,63.899331456079324,126.65195874076595,65.8946862303338,65.8946862303338,30.531108317474768,30.531108317474768,30.531108317474768,2.7691236599335305,2.7691236599335305,2.7691236599335305,27.761984657541237,27.761984657541237,27.761984657541237,0.0,0.0,0.0,96.42579454780858
2023-12-02,65.75094653827978,52.09385091035376,115.42967547249786,65.75094653827978,65.75094653827978,17.431658498052084,17.431658498052084,17.431658498052084,-9.556845680242551,-9.556845680242551,-9.556845680242551,26.988504178294637,26.988504178294637,26.988504178294637,0.0,0.0,0.0,83.18260503633186
2023-12-03,65.60720684622575,42.63571835295779,104.86362992001965,65.60720684622575,65.60720684622575,8.002869118493823,8.002869118493823,8.002869118493823,-18.084414818597,-18.084414818597,-18.084414818597,26.087283937090824,26.087283937090824,26.087283937090824,0.0,0.0,0.0,73.61007596471957
2023-12-04,65.46346715417172,60.59265996102125,129.67319013179772,65.46346715417172,65.46346715417172,28.9689959704874,28.9689959704874,28.9689959704874,3.8830813949422542,3.8830813949422542,3.8830813949422542,25.085914575545146,25.085914575545146,25.085914575545146,0.0,0.0,0.0,94.43246312465912
2023-12-05,65.3197274621177,63.98287108064879,129.9868963118921,65.3197274621177,65.3197274621177,32.98870589620281,32.98870589620281,32.98870589620281,8.975740760300848,8.975740760300848,8.975740760300848,24.01296513590196,24.01296513590196,24.01296513590196,0.0,0.0,0.0,98.30843335832051
2023-12-06,65.17598777006367,59.3939145662169,127.63137380648259,65.17598777006367,65.17598777006367,29.199834097931095,29.199834097931095,29.199834097931095,6.302568845859186,6.302568845859186,6.302568845859186,22.897265252071907,22.897265252071907,22.897265252071907,0.0,0.0,0.0,94.37582186799477
2023-12-07,65.03224807800964,60.76423074543685,127.01249105834243,65.03224807800964,65.03224807800964,27.477931335591666,27.477931335591666,27.477931335591666,5.71074583787863,5.71074583787863,5.71074583787863,21.767185497713033,21.767185497713033,21.767185497713033,0.0,0.0,0.0,92.5101794136013
2023-12-08,64.88850838595562,55.965389848107826,121.17318323407048,64.88850838595562,64.88850838595562,23.41905769281628,23.41905769281628,23.41905769281628,2.7691236599227147,2.7691236599227147,2.7691236599227147,20.64993403289357,20.64993403289357,20.64993403289357,0.0,0.0,0.0,88.3075660787719
2023-12-09,64.74476869390159,41.10814158399364,108.72261958344882,64.74476869390159,64.74476869390159,10.014041730275064,10.014041730275064,10.014041730275064,-9.556845680261958,-9.556845680261958,-9.556845680261958,19.570887410537022,19.570887410537022,19.570887410537022,0.0,0.0,0.0,74.75881042417666
2023-12-10,64.60102900184756,32.41253433547542,97.62634008725293,64.60102900184756,64.60102900184756,0.4685578393382513,0.4685578393382513,0.4685578393382513,-18.084414818590812,-18.084414818590812,-18.084414818590812,18.55297265792906,18.55297265792906,18.55297265792906,0.0,0.0,0.0,65.06958684118581
2023-12-11,64.45728930979354,54.0048136476567,120.47633663477195,64.45728930979354,64.45728930979354,21.49919794591777,21.49919794591777,21.49919794591777,3.883081394959443,3.883081394959443,3.883081394959443,17.61611655095833,17.61611655095833,17.61611655095833,0.0,0.0,0.0,85.95648725571131
2023-12-12,64.31354961773951,57.83241814403376,122.66910051483846,64.31354961773951,64.31354961773951,25.75251713576681,25.75251713576681,25.75251713576681,8.97574076029601,8.97574076029601,8.97574076029601,16.7767763754708,16.7767763754708,16.7767763754708,0.0,0.0,0.0,90.06606675350632
