feature,importance
daily_avg_price,14.722999572753906
mid_price,13.588245391845703
range_avg_7d,8.863914489746094
price_range,7.626490116119385
daily_min_price,7.574419975280762
avg_lag_14,4.171869277954102
max_lag_1,3.2549588680267334
avg_delta_1d,2.2052226066589355
avg_ma_7,1.9712022542953491
max_lag_7,1.8656578063964844
avg_return_1d,1.740010380744934
max_lag_2,1.342570185661316
range_lag_30,1.2953590154647827
range_lag_1,1.1115429401397705
range_avg_30d,1.0663169622421265
avg_lag_1,0.9392380118370056
min_lag_30,0.8200488090515137
min_lag_1,0.6919907331466675
avg_ma_30,0.6788454055786133
min_lag_14,0.5999487042427063
month,0.5834679007530212
range_lag_2,0.4934825003147125
avg_lag_2,0.46995046734809875
vol_7d,0.46409615874290466
avg_lag_30,0.45197343826293945
range_lag_7,0.44845864176750183
max_lag_30,0.43674594163894653
min_lag_2,0.41838493943214417
max_lag_14,0.41098445653915405
season,0.39776530861854553
range_lag_14,0.3311097323894501
vol_30d,0.28499770164489746
day,0.275178462266922
avg_lag_7,0.24949388206005096
min_lag_7,0.2449609786272049
dow,0.19923964142799377
